Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1981-09-14,0.06496162712574005,0.06538897824635564,0.06496162712574005,0.06538897824635564,27686400
1981-09-15,0.06325219571590424,0.06367954673169536,0.06325219571590424,0.06367954673169536,19510400
1981-09-16,0.061970122158527374,0.062397478817733554,0.061970122158527374,0.062397478817733554,19353600
1981-09-17,0.060260698199272156,0.06068805479653335,0.060260698199272156,0.06068805479653335,19376000
1981-09-18,0.060688093304634094,0.06111544446690755,0.060688093304634094,0.060688093304634094,26320000
1981-09-21,0.06111539900302887,0.061542755553547136,0.06111539900302887,0.06111539900302887,49033600
1981-09-22,0.057696595788002014,0.058123946785381964,0.05769659578800202,0.058123946785381964,47420800
1981-09-23,0.056414518505334854,0.05726922601113751,0.056414518505334854,0.05726922601113751,28201600
1981-09-24,0.0559871643781662,0.05641451525335677,0.0559871643781662,0.05641451525335677,18300800
1981-09-25,0.04872141405940056,0.04957612205167726,0.04872141405940056,0.04957612205167726,34608000
1981-09-28,0.04914874956011772,0.049576106273321256,0.04914874956011772,0.04914874956011772,91728000
1981-09-29,0.051712874323129654,0.05214023104957426,0.051712874323129654,0.051712874323129654,94684800
1981-09-30,0.052140217274427414,0.05256756818181397,0.052140217274427414,0.052140217274427414,49996800
1981-10-01,0.052140217274427414,0.05256756818181397,0.052140217274427414,0.052140217274427414,61129600
1981-10-02,0.056414518505334854,0.05684187511131257,0.056414518505334854,0.056414518505334854,45046400
1981-10-05,0.058123961091041565,0.05897866900231904,0.058123961091041565,0.058123961091041565,43097600
1981-10-06,0.057696595788002014,0.058123946785381964,0.05769659578800202,0.058123946785381964,28358400
1981-10-07,0.06111539900302887,0.061970106397913366,0.06111539900302887,0.06111539900302887,38841600
1981-10-08,0.06325219571590424,0.06367954673169536,0.06325219571590424,0.06325219571590424,31091200
1981-10-09,0.06367954611778259,0.06453425384727923,0.06367954611778259,0.06367954611778259,54521600
1981-10-12,0.06581706553697586,0.06624442214193636,0.06581706553697586,0.06581706553697586,27350400
1981-10-13,0.06581706553697586,0.0666717730407441,0.06581706553697586,0.06581706553697586,44195200
1981-10-14,0.061970122158527374,0.062397478817733554,0.061970122158527374,0.062397478817733554,30979200
1981-10-15,0.06325219571590424,0.06367954673169536,0.06325219571590424,0.06325219571590424,29433600
1981-10-16,0.06239747256040573,0.06282482347060293,0.06239747256040573,0.06282482347060293,36467200
1981-10-19,0.06367954611778259,0.06410690283560805,0.06367954611778259,0.06367954611778259,20585600
1981-10-20,0.06709915399551392,0.06752650504940434,0.06709915399551392,0.06709915399551392,35728000
1981-10-21,0.06709915399551392,0.06752650504940434,0.06709915399551392,0.06709915399551392,76899200
1981-10-22,0.06667182594537735,0.06709918288944905,0.06667182594537735,0.06709918288944905,32278400
1981-10-23,0.06496162712574005,0.06538897824635564,0.06496162712574005,0.06538897824635564,27910400
1981-10-26,0.06496162712574005,0.06538897824635564,0.06496162712574005,0.06496162712574005,27283200
1981-10-27,0.06624443084001541,0.06709913845600916,0.06624443084001541,0.06624443084001541,85590400
1981-10-28,0.06838121265172958,0.06880856941045235,0.06838121265172958,0.06838121265172958,44172800
1981-10-29,0.06752652674913406,0.06795388364651098,0.06752652674913406,0.06795388364651098,30486400
1981-10-30,0.06838121265172958,0.06880856941045235,0.06838121265172958,0.06838121265172958,52729600
1981-11-02,0.06838121265172958,0.06880856941045235,0.06838121265172958,0.06838121265172958,36915200
1981-11-03,0.06752652674913406,0.06795388364651098,0.06752652674913406,0.06795388364651098,28380800
1981-11-04,0.06581706553697586,0.06624442214193636,0.06581706553697586,0.06624442214193636,23811200
1981-11-05,0.06111539900302887,0.061542755553547136,0.06111539900302887,0.061542755553547136,23363200
1981-11-06,0.06154279783368111,0.061970148971639175,0.06154279783368111,0.06154279783368111,24595200
1981-11-09,0.06239747256040573,0.06282482347060293,0.06239747256040573,0.06239747256040573,20384000
1981-11-10,0.06282483786344528,0.06325219457770058,0.06282483786344528,0.06282483786344528,16755200
1981-11-11,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.0645342618227005,27440000
1981-11-12,0.06667182594537735,0.06709918288944905,0.06667182594537735,0.06667182594537735,39916800
1981-11-13,0.061970122158527374,0.062397478817733554,0.061970122158527374,0.062397478817733554,21011200
1981-11-16,0.06111539900302887,0.061542755553547136,0.06111539900302887,0.061542755553547136,22556800
1981-11-17,0.06239747256040573,0.06282482347060293,0.06239747256040573,0.06239747256040573,35414400
1981-11-18,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.0645342618227005,29142400
1981-11-19,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.0645342618227005,40006400
1981-11-20,0.06496162712574005,0.06538897824635564,0.06496162712574005,0.06496162712574005,38102400
1981-11-23,0.061970122158527374,0.06282482977078625,0.061970122158527374,0.06282482977078625,22960000
1981-11-24,0.06154279783368111,0.061970148971639175,0.06154279783368111,0.061970148971639175,22153600
1981-11-25,0.06282483786344528,0.06325219457770058,0.06282483786344528,0.06282483786344528,52550400
1981-11-27,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.0645342618227005,37251200
1981-11-30,0.06367954611778259,0.06410690283560805,0.06367954611778259,0.06410690283560805,23968000
1981-12-01,0.06367954611778259,0.06410690283560805,0.06367954611778259,0.06367954611778259,23385600
1981-12-02,0.06410688906908035,0.06453423998898077,0.06410688906908035,0.06410688906908035,37564800
1981-12-03,0.06325219571590424,0.06367954673169536,0.06325219571590424,0.06367954673169536,20428800
1981-12-04,0.06496162712574005,0.06538897824635564,0.06496162712574005,0.06496162712574005,137155200
1981-12-07,0.065388984978199,0.06581710647391271,0.065388984978199,0.065388984978199,59292800
1981-12-08,0.06410688906908035,0.06496159661503423,0.06410688906908035,0.06496159661503423,50624000
1981-12-09,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.0645342618227005,34272000
1981-12-10,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.0645342618227005,37408000
1981-12-11,0.06410688906908035,0.06496159661503423,0.06410688906908035,0.06453423998898077,76092800
